left,front,right,food_angle,sug_direction,move_rating
0.0,0.0,0.0,-0.4995824073762009,0.0,0.0
0.0,0.0,0.0,-0.4995945883696947,-1.0,1.0
0.0,0.0,0.0,-0.5006044989877679,0.0,1.0
0.0,0.0,0.0,-0.5005902938740268,0.0,1.0
0.0,0.0,0.0,-0.500576012620475,-1.0,1.0
0.0,0.0,0.0,-0.5003368136452168,-1.0,0.0
0.0,0.0,0.0,-0.4994354603202018,0.0,0.0
0.0,0.0,0.0,-0.4994238347744056,-1.0,0.0
0.0,0.0,0.0,-0.4996245744514845,-1.0,1.0
0.0,0.0,0.0,-0.5005902938740268,-1.0,1.0
0.0,0.0,0.0,-0.5003613052832409,-1.0,0.0
0.0,0.0,0.0,-0.4994238347744056,1.0,1.0
0.0,0.0,0.0,-0.5003982915254233,-1.0,0.0
0.0,0.0,0.0,-0.4994431244776815,-1.0,0.0
0.0,0.0,0.0,-0.4995824073762009,-1.0,1.0
0.0,0.0,0.0,-0.5005761652255944,0.0,1.0
0.0,0.0,0.0,-0.5005645396797982,1.0,0.0
0.0,0.0,0.0,-0.499651726744457,1.0,0.0
0.0,0.0,0.0,-0.4993955010122322,1.0,1.0
0.0,0.0,0.0,-0.5003881532993776,1.0,1.0
0.0,0.0,0.0,-0.5005645396797982,-1.0,1.0
0.0,0.0,0.0,-0.5003719833877417,1.0,1.0
0.0,0.0,0.0,-0.5005293068771731,-1.0,1.0
0.0,0.0,0.0,-0.5003568713488914,-1.0,0.0
0.0,0.0,0.0,-0.4994858005546913,-1.0,0.0
0.0,0.0,0.0,-0.4996280166122584,1.0,0.0
0.0,0.0,0.0,-0.4994516274817665,1.0,1.0
0.0,0.0,0.0,-0.5004060916138072,0.0,1.0
0.0,0.0,0.0,-0.5004118054504002,1.0,1.0
0.0,0.0,0.0,-0.5004899790836296,1.0,0.0
0.0,0.0,0.0,-0.4996194924853398,0.0,0.0
0.0,0.0,0.0,-0.4996280166122584,1.0,0.0
0.0,0.0,0.0,-0.4994516274817665,-1.0,0.0
0.0,0.0,0.0,-0.4996118467006225,1.0,0.0
0.0,0.0,0.0,-0.4994127602081164,1.0,1.0
0.0,0.0,0.0,-0.5004269378106679,0.0,1.0
0.0,0.0,0.0,-0.500433760659761,-1.0,0.0
0.0,0.0,0.0,-0.4994674365611259,0.0,0.0
0.0,0.0,0.0,-0.4994639440272093,0.0,0.0
0.0,0.0,0.0,-0.4994623625615955,1.0,1.0
0.0,0.0,0.0,-0.5005298013782877,0.0,1.0
0.0,0.0,0.0,-0.5005271280392032,0.0,1.0
0.0,0.0,0.0,-0.5005228405545755,1.0,1.0
0.0,0.0,0.0,-0.5004445359816401,0.0,1.0
0.0,0.0,0.0,-0.5004465923214395,1.0,0.0
0.0,0.0,0.0,-0.4995319298355243,1.0,0.0
0.0,0.0,0.0,-0.49952688762874,-1.0,0.0
0.0,0.0,0.0,-0.4995026799454347,1.0,0.0
0.0,0.0,0.0,-0.4994970240308765,-1.0,0.0
0.0,0.0,0.0,-0.4994695310674554,1.0,0.0
0.0,0.0,0.0,-0.4994631432489277,0.0,0.0
0.0,0.0,0.0,-0.4994668036213345,1.0,1.0
0.0,0.0,0.0,-0.5006006711239491,0.0,1.0
0.0,0.0,0.0,-0.500592546003947,-1.0,0.0
0.0,0.0,0.0,-0.4995519285032296,1.0,1.0
0.0,0.0,0.0,-0.5006147382493005,-1.0,0.0
0.0,0.0,0.0,-0.4996001496358412,1.0,1.0
0.0,0.0,0.0,-0.5006306624415549,-1.0,0.0
0.0,0.0,0.0,-0.4996490054354604,-1.0,0.0
0.0,0.0,0.0,-0.4993203722916526,0.0,0.0
0.0,0.0,0.0,-0.4993004904782183,-1.0,1.0
0.0,0.0,0.0,-0.5004341595369597,1.0,0.0
0.0,0.0,0.0,-0.4993215384187098,1.0,0.0
0.0,0.0,0.0,-0.4995448032337896,1.0,1.0
0.0,0.0,0.0,-0.5006995095217818,0.0,1.0
0.0,0.0,0.0,-0.5006796277083475,-1.0,0.0
0.0,0.0,0.0,-0.4996399570698616,0.0,0.0
0.0,0.0,0.0,-0.4996656759324569,1.0,1.0
0.0,0.0,0.0,-0.5007167773713147,1.0,1.0
0.0,0.0,0.0,-0.5003297106030676,-1.0,1.0
0.0,0.0,0.0,-0.5006661741446078,0.0,1.0
0.0,0.0,0.0,-0.5006445029745067,-1.0,0.0
0.0,0.0,0.0,-0.4997436292520958,0.0,0.0
0.0,0.0,0.0,-0.4997686893323446,1.0,1.0
0.0,0.0,0.0,-0.5006618305087902,0.0,1.0
0.0,0.0,0.0,-0.5006379184184536,1.0,1.0
0.0,0.0,0.0,-0.5002180802350547,1.0,0.0
0.0,0.0,0.0,-0.4993565796079412,1.0,0.0
0.0,0.0,0.0,-0.4997874857537754,-1.0,0.0
0.0,0.0,0.0,-0.499312676399633,1.0,0.0
0.0,0.0,0.0,-0.4997962338418036,-1.0,0.0
0.0,0.0,0.0,-0.4992637906077073,1.0,0.0
0.0,0.0,0.0,-0.4998091850270669,1.0,1.0
